DataName,Data 2025-03-15 17-10-51_002,FrameRate,120,StartTime,2025.03.15 20:11:56:517,FrameCount,557,LengthUnits,mm,CoordinateSpace,World

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
167,1.391667,-0.052485,0.998557,0.011382,0.000566,331.908478,1727.866089,-282.346893,-0.127694,0.463857,-0.011909,0.481260,-8.656788,-9.464060,-3.554297,13.309449,5.291014,1.076405,-5.749524,22.232492,121.255165,62.529999,122.847977,1674.834839,-309.379486,373.735168,1723.096191,-412.162750,533.274475,1785.218628,-200.919312,,,,-0.035963,0.949226,-0.020375,-0.311868,417.471893,1745.122925,-596.011414,-0.240938,0.961289,-0.044407,0.992018,-12.124512,-7.739646,1.434375,14.455564,-0.239292,-0.432099,-8.386418,-167.811050,-82.832603,-76.973526,559.622253,1782.797363,-652.783264,,,,375.903595,1723.496460,-461.790466,133.817978,1673.186157,-583.283142,337.562988,1672.851929,-666.396729,314.199432,1680.053345,-210.228683,2627.918701,37.158756,1375.124023,2654.817139,53.824039,1305.480347,2662.878662,37.794147,1330.246338,2455.702881,133.386047,1465.861084,,,,829.087158,762.689575,-78.857643,,,,,,,,,,345.160828,1294.712036,-398.139648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1.400000,-0.074129,0.997094,-0.016746,-0.005261,332.187592,1733.869263,-282.760254,-0.126138,0.466494,-0.021024,0.483704,0.186768,0.316408,-1.093799,1.153859,6.662134,1.810155,-5.194429,164.534393,88.050064,66.611305,125.877716,1670.574585,-304.461792,373.405701,1723.500488,-412.874115,530.873413,1804.267700,-206.537766,,,,-0.067008,0.949645,-0.006147,-0.306018,416.820129,1754.768311,-594.096252,-0.247533,0.965654,0.015432,0.996995,-0.791454,0.523825,7.180664,7.243116,-0.869324,-1.639007,-8.106666,-75.603798,-144.828995,33.570328,556.530029,1801.924438,-647.857788,,,,375.013489,1724.645142,-460.958038,138.191544,1668.580566,-587.876648,334.944794,1692.486816,-670.404602,311.538025,1699.102661,-207.354523,2627.884521,37.184673,1375.130127,2654.827393,53.902153,1305.531860,2662.782715,37.914349,1330.343384,2455.693848,133.386429,1465.888428,,,,829.051514,762.487854,-79.161331,,,,,,,,,,347.490021,1292.894653,-394.558746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.272705,869.417236,-306.000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1.408333,-0.092216,0.994472,-0.048821,-0.011732,332.739929,1741.135376,-283.882385,-0.075681,0.550503,-0.039529,0.557085,6.054785,10.081054,-2.220556,11.967411,7.595695,2.050265,-4.361457,112.027237,28.813131,99.956642,128.947205,1669.203125,-299.349304,373.368195,1723.869995,-413.401031,529.021179,1823.386963,-214.451767,,,,-0.097901,0.949023,0.014577,-0.299263,416.144562,1765.084473,-591.052368,-0.213029,1.017539,0.112229,1.045640,4.140526,6.226179,11.615624,13.814195,-2.345282,-1.873152,-8.565228,-177.114975,-28.097290,-55.027424,553.443542,1821.556519,-640.612854,,,,374.584686,1725.122437,-460.065216,142.411484,1666.248535,-593.034790,332.549103,1713.148560,-672.520386,309.876801,1718.640869,-205.816620,2627.902588,37.168346,1375.128662,2654.829346,53.901768,1305.563599,2662.725586,38.005470,1330.491821,2455.754639,133.374329,1465.867432,,,,828.946411,762.610840,-79.077583,,,,,,,,,,348.588654,1292.818726,-393.616455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.804932,870.366211,-314.547882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1.416667,-0.109582,0.990408,-0.082482,-0.016756,332.964172,1748.889648,-285.971497,-0.017032,0.671968,-0.085858,0.677645,7.037842,14.575781,-5.559522,17.114113,8.021307,1.752354,-4.199945,51.073490,-35.749252,19.381426,131.918884,1668.909790,-295.283752,373.395172,1724.267700,-414.176392,526.592468,1842.605591,-223.588135,,,,-0.127813,0.946590,0.040047,-0.293305,415.240784,1775.352661,-586.992188,-0.159412,1.095191,0.222971,1.128969,6.434034,9.318165,13.289062,17.459213,-3.522398,-1.676589,-8.722399,-141.253967,23.587545,-18.860548,550.508301,1840.857300,-631.847839,,,,374.753632,1724.843506,-459.036530,145.738647,1665.519531,-597.643066,330.032349,1732.544922,-672.395630,308.401001,1736.874023,-207.086594,2627.890625,37.144905,1375.147827,2654.826904,53.907597,1305.527588,2662.829346,37.889545,1330.317993,2455.679688,133.394882,1465.877686,,,,828.699463,762.558044,-79.042450,,,,,,,,,,347.829163,1293.277222,-393.972687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.442139,870.344238,-312.327393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1.425000,-0.125345,0.985351,-0.113807,-0.020477,332.469055,1755.822998,-288.346954,0.000919,0.773936,-0.143833,0.787188,2.154199,12.236130,-6.956982,14.239489,7.513052,1.417040,-3.828294,-60.990597,-40.237724,44.598137,133.806519,1668.796753,-291.611420,373.505188,1724.408813,-415.225311,523.280945,1859.736084,-232.643387,,,,-0.157897,0.942546,0.060920,-0.288035,413.209320,1784.889038,-583.148132,-0.145232,1.148525,0.321226,1.201411,1.701563,6.400194,11.790525,13.523102,-2.502080,-1.263938,-8.480627,122.438217,49.518055,29.012602,545.231812,1858.819458,-623.234497,,,,374.902069,1725.239380,-458.487152,149.020004,1663.875122,-602.015564,327.031738,1748.771118,-670.592102,306.286896,1752.735962,-210.411575,2627.911621,37.186726,1375.128174,2654.808594,53.818314,1305.450317,2662.813721,37.836441,1330.283081,2455.716797,133.389664,1465.886475,,,,828.875244,762.604126,-79.296860,,,,,,,,,,345.200623,1294.996826,-397.785156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.376343,871.490479,-316.229797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1.433333,-0.142154,0.979296,-0.142522,-0.021413,330.595612,1761.895996,-291.194336,-0.031512,0.816724,-0.212340,0.844464,-3.891797,5.134570,-8.220850,10.444724,7.011842,0.655864,-4.042436,-60.145222,-91.341118,-25.697020,135.333755,1667.957642,-289.350403,373.099274,1724.658203,-416.279846,517.206055,1875.483154,-241.424881,,,,-0.187445,0.936661,0.078495,-0.285251,409.767609,1793.322998,-579.396362,-0.184893,1.156831,0.398760,1.237519,-4.759277,0.996680,9.304103,10.498115,-1.914056,-0.457026,-8.164408,70.562790,96.829445,37.946316,537.875610,1875.303711,-615.643616,,,,374.543427,1725.459717,-457.648193,151.708023,1661.311890,-604.990356,323.086670,1761.555786,-666.672180,302.410126,1764.916748,-214.537201,2627.876465,37.143360,1375.143921,2654.818359,53.827370,1305.474365,2662.881836,37.886066,1330.355957,2455.618408,133.385559,1465.885986,,,,828.612732,762.199158,-79.664528,,,,,,,,,,337.958252,1299.427856,-400.200653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1.441667,-0.158055,0.972337,-0.170660,-0.021316,328.268005,1767.546997,-294.551880,-0.094065,0.808272,-0.282997,0.861533,-7.506299,-1.014254,-8.478807,11.369406,6.937679,0.429206,-3.827479,-8.899498,-27.198908,25.794867,136.298050,1667.165527,-287.897369,372.534271,1724.801758,-417.225586,510.723999,1890.151855,-250.814606,,,,-0.216058,0.929847,0.093848,-0.282659,405.109222,1801.039917,-575.285706,-0.281067,1.110513,0.451465,1.231283,-11.540917,-5.558209,6.324609,14.285908,-1.504364,-0.267795,-7.839993,49.163101,22.707788,38.929764,529.227234,1890.744263,-607.855225,,,,373.019928,1725.601196,-456.509796,153.707275,1658.561523,-607.339172,317.134644,1772.618530,-662.206238,297.715881,1775.725586,-219.139206,2627.983643,37.214909,1375.087769,2654.792236,53.789783,1305.510254,2662.755859,37.896297,1330.344971,2455.644287,133.391983,1465.894043,,,,828.965637,762.583801,-79.146301,,,,,,,,,,338.662170,1298.983398,-400.312256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1.450000,-0.173316,0.964187,-0.199642,-0.021192,325.148438,1773.353516,-298.275726,-0.182197,0.773218,-0.345443,0.866252,-10.575879,-4.206448,-7.493555,13.627061,7.181240,0.487061,-3.717673,29.227236,6.942565,13.176698,137.204147,1667.532104,-286.250793,371.244537,1724.779907,-418.357391,502.763306,1904.223999,-261.077057,,,,-0.244540,0.921861,0.110320,-0.279648,400.770447,1808.405762,-570.476379,-0.368976,1.039688,0.493821,1.208699,-10.549074,-8.499026,5.082714,14.468946,-1.767799,-0.343006,-7.957084,-31.612200,-9.025340,-14.050883,520.017578,1905.017212,-598.657654,,,,372.275696,1725.592529,-455.481995,156.878586,1656.595337,-609.626770,311.470276,1782.994629,-657.125122,294.026764,1786.364136,-224.382126,2627.906982,37.176521,1375.130859,2654.806885,53.834805,1305.542236,2662.795898,37.801754,1330.268188,2455.702881,133.395813,1465.885742,,,,828.970215,762.526062,-79.243225,,,,,,,,,,337.183838,1299.395996,-400.709900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1.458333,-0.186090,0.954675,-0.231285,-0.021749,322.114929,1779.750000,-302.752289,-0.260380,0.740654,-0.402737,0.882362,-9.381884,-3.907614,-6.875245,12.270215,7.821450,0.881763,-3.218211,76.825211,47.364269,59.935425,137.138306,1669.266357,-284.771973,369.923096,1724.850098,-419.097931,496.091431,1918.149902,-273.456543,,,,-0.271286,0.912928,0.131061,-0.275300,396.097565,1815.951660,-564.697571,-0.459437,0.974399,0.535078,1.202849,-10.855371,-7.834568,4.950882,14.273429,-2.775822,-0.871629,-7.950460,-120.962730,-63.434753,0.794792,511.383942,1918.937866,-587.239075,,,,371.178955,1725.602905,-454.811188,158.501221,1656.618652,-612.357483,306.377075,1792.840576,-651.950378,289.779846,1796.531982,-229.388687,2627.925537,37.182266,1375.114014,2654.834473,53.876831,1305.647217,2662.891846,37.819592,1330.231445,2455.728027,133.382309,1465.858643,,,,828.789917,762.544495,-79.015419,,,,,,,,,,338.656708,1298.917969,-400.224030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1.466667,-0.196607,0.942378,-0.270132,-0.017261,318.926727,1786.803833,-308.053162,-0.325020,0.743555,-0.472950,0.939252,-7.756787,0.348043,-8.425633,11.457756,9.841553,0.187099,-2.507572,242.412338,-83.359764,85.276649,136.236282,1672.464355,-284.402954,370.987152,1725.027100,-418.829834,488.384735,1931.752441,-287.066864,,,,-0.296776,0.901269,0.158202,-0.273148,391.133362,1823.868286,-558.250854,-0.529827,0.935508,0.597524,1.230011,-8.446730,-4.666993,7.493555,12.218078,-4.490306,-0.666861,-8.207115,-205.738098,24.572145,-30.798567,502.386902,1932.303223,-574.512634,,,,370.726196,1725.724487,-455.094177,159.060913,1659.091309,-614.160400,302.069855,1804.075317,-646.648865,285.849731,1807.948975,-235.490082,2627.934082,37.190125,1375.119629,2654.811523,53.812099,1305.588379,2662.815430,38.044907,1330.517822,2455.660156,133.427063,1465.855347,,,,828.744812,762.459534,-79.555305,,,,,,,,,,338.490570,1298.694580,-400.484619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1.475000,-0.204577,0.930180,-0.304640,-0.010387,315.269257,1792.782959,-313.713257,-0.367830,0.741284,-0.540454,0.988378,-5.137206,-0.272462,-8.100443,9.595952,8.955173,-0.392727,-1.790097,-106.365501,-69.579056,86.097076,134.597046,1675.423340,-286.128052,371.230957,1725.029785,-418.718811,481.030090,1943.280029,-299.302246,,,,-0.317040,0.888612,0.185729,-0.274516,386.567078,1830.700684,-551.956787,-0.556809,0.897070,0.658557,1.244375,-3.237891,-4.612498,7.323925,9.241156,-5.204955,-0.065463,-7.038958,-85.757843,72.167755,140.178848,495.037292,1943.766846,-563.060059,,,,370.879150,1725.709595,-455.258331,157.722336,1662.310913,-613.949463,296.848602,1814.627075,-641.286987,281.204041,1817.990234,-242.033691,2627.883057,37.185303,1375.130249,2654.817627,53.838631,1305.570068,2662.791992,37.986027,1330.438110,2455.626221,133.403122,1465.880859,,,,828.475464,762.518066,-79.236732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1.483333,-0.208840,0.920352,-0.330663,0.000502,311.530029,1796.623657,-318.608826,-0.401715,0.697852,-0.577368,0.990821,-4.066261,-5.211911,-4.429686,7.957425,7.074205,-1.440574,-0.573328,-225.716217,-125.741638,146.012192,132.064972,1676.926147,-290.224884,371.667908,1725.031738,-418.346222,474.321259,1951.037598,-307.293701,,,,-0.333113,0.874826,0.210042,-0.282131,381.571045,1835.654297,-547.061340,-0.564913,0.830713,0.677380,1.211633,-0.972505,-7.962892,2.258785,8.333998,-5.321144,1.399080,-5.740273,-13.942737,175.745163,155.842194,487.057129,1952.242432,-555.179749,,,,371.650391,1725.682861,-455.869904,154.956558,1664.023682,-610.966003,290.640167,1822.190186,-634.862610,274.317413,1825.581299,-249.330948,2627.916748,37.163296,1375.121460,2654.812500,53.849590,1305.549316,2662.894043,37.897503,1330.321045,2455.715820,133.372314,1465.872070,,,,828.386414,762.366028,-79.213463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.143433,857.486450,-288.136841,345.423706,1295.118042,-397.685059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1.491667,-0.209580,0.915546,-0.343037,0.013300,307.783997,1797.976807,-322.066376,-0.416744,0.590947,-0.570970,0.921359,-1.803517,-12.828519,0.767727,12.977402,3.756193,-2.266167,0.609971,-398.161407,-99.071213,141.995911,129.487396,1676.553223,-296.717865,370.652527,1725.021606,-418.034454,468.783508,1954.790161,-309.460327,265.378265,1832.231323,-258.078003,-0.340469,0.863861,0.225829,-0.294665,377.342651,1837.912109,-544.281494,-0.562269,0.708164,0.628674,1.101306,0.317280,-14.705857,-5.844726,15.827941,-4.371644,2.482984,-2.858320,113.940002,130.068420,345.834351,480.641693,1956.500732,-552.800964,281.591705,1827.754883,-627.765930,372.607727,1725.354126,-455.851501,151.160706,1664.192505,-605.088928,,,,,,,2627.885010,37.145912,1375.136597,2654.820801,53.809307,1305.636597,2662.707275,37.906937,1330.381470,2455.645752,133.404480,1465.882690,,,,829.248779,762.749390,-78.996643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.207825,851.688354,-273.714447,344.769562,1295.208618,-398.111298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1.500000,-0.203807,0.913228,-0.351466,0.030794,304.964539,1797.679932,-324.152893,-0.411610,0.430313,-0.513618,0.786381,0.616114,-19.276169,6.882276,20.477207,2.941552,-2.952413,2.565387,-97.756912,-82.349480,234.649963,125.105148,1674.973389,-305.224396,372.063171,1724.605591,-416.464813,465.588623,1954.803223,-307.399475,257.101074,1836.337158,-267.523071,-0.339697,0.856694,0.233534,-0.310070,373.848419,1837.477539,-544.179443,-0.533983,0.516636,0.492437,0.891372,3.394339,-22.983397,-16.348536,28.408319,-3.299516,3.029289,-0.135539,128.655365,65.556564,326.733765,476.219513,1956.283813,-555.042847,272.776184,1831.113525,-620.453552,372.849640,1725.365601,-457.318817,146.217880,1661.942993,-597.150452,,,,,,,2627.891846,37.140804,1375.136597,2654.806885,53.834473,1305.543823,2662.707520,37.964043,1330.466919,2455.627197,133.376083,1465.883301,,,,833.248901,762.897888,-75.621506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.852051,1295.149170,-398.162170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1.508333,-0.191654,0.908975,-0.367030,0.048175,302.609711,1798.540649,-327.289825,-0.391608,0.281704,-0.461675,0.667726,2.400294,-17.833010,6.233203,19.042858,4.710609,-2.054648,3.807077,212.286896,107.731812,149.002777,122.113449,1674.800903,-311.354797,371.998993,1724.329590,-415.425629,465.466309,1952.462158,-304.252838,250.859940,1842.569824,-278.126282,-0.336528,0.842488,0.258215,-0.332097,370.999359,1837.485596,-542.479614,-0.483215,0.326807,0.378516,0.695395,6.092137,-22.779491,-13.670507,27.256231,-7.904053,3.397261,-1.109044,-552.544434,44.156681,-116.820663,475.018860,1953.966675,-558.605713,262.932831,1837.908569,-607.579163,373.757050,1724.958984,-458.698517,141.667450,1659.642578,-589.016724,,,,,,,2627.878174,37.170498,1375.121216,2654.836182,53.850986,1305.653198,2662.682129,37.931316,1330.409424,2455.579590,133.397598,1465.888794,,,,829.385498,762.700562,-79.350197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.415192,1295.004761,-397.686066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1.516667,-0.173496,0.902844,-0.388396,0.062617,301.726685,1800.302124,-330.665924,-0.325023,0.180439,-0.406868,0.551126,7.990136,-12.151756,6.576855,15.961280,6.076508,-0.639349,4.705176,163.907761,169.835831,107.771896,119.709068,1677.574829,-314.183319,372.008453,1723.931519,-414.222076,468.467316,1948.284180,-300.816071,246.721848,1851.417969,-293.442322,-0.328192,0.832660,0.281082,-0.346352,370.770477,1837.135986,-541.126770,-0.379116,0.154438,0.259915,0.484908,12.491895,-20.684181,-14.232129,28.043470,-7.049567,1.302207,-0.047312,102.538254,-251.406433,127.407852,477.958435,1949.631348,-562.639038,257.193573,1845.539673,-594.681763,373.887115,1724.453247,-459.595795,138.770569,1660.165771,-584.737427,,,,,,,2627.932373,37.182514,1375.126221,2654.805664,53.818886,1305.556641,2662.789795,37.993805,1330.451538,2455.660889,133.378799,1465.894287,,,,828.296814,762.348450,-79.342873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.219971,1294.831177,-398.097748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
